LineName,PointIndex,initX,initY,initZ,QEdepX,QEdepY,QEdepZ
ACU,1,0,0,840,2.59725,2.31199,825.29
ACU,2,0,0,800,3.21183,2.13887,786.588
ACU,3,0,0,760,0.106916,3.2934,749.405
ACU,4,0,0,720,-0.131169,1.33245,711.699
ACU,5,0,0,680,2.0458,0.488442,672.266
ACU,6,0,0,640,1.3647,1.99385,632.501
ACU,7,0,0,600,-0.0309613,-0.138719,597.356
ACU,8,0,0,560,1.95397,2.92182,556.724
ACU,9,0,0,520,2.04399,1.18488,518.406
ACU,10,0,0,480,-0.103746,3.05861,476.958
ACU,11,0,0,440,1.53973,-2.28334,439.47
ACU,12,0,0,400,0.173847,2.56946,398.571
ACU,13,0,0,360,1.68626,2.9196,360.306
ACU,14,0,0,320,1.08029,-3.3553,320.609
ACU,15,0,0,280,3.09559,1.66138,282.032
ACU,16,0,0,240,1.87312,0.171359,240.516
ACU,17,0,0,200,1.95298,1.56529,199.06
ACU,18,0,0,160,1.58267,-1.33611,162.212
ACU,19,0,0,120,1.13953,2.91036,116.922
ACU,20,0,0,80,2.08986,1.38671,83.8864
ACU,21,0,0,40,0.734457,0.456837,38.5476
ACU,22,0,0,0,0.717297,3.64721,1.70595
ACU,23,0,0,-40,1.24175,2.60688,-38.9857
ACU,24,0,0,-80,0.19631,1.7898,-78.8356
ACU,25,0,0,-120,0.884542,2.05174,-119.149
ACU,26,0,0,-160,2.32012,3.50298,-158.611
ACU,27,0,0,-200,-2.54289,2.38579,-197.393
ACU,28,0,0,-240,1.29966,3.26323,-241.354
ACU,29,0,0,-280,1.75722,2.6369,-278.992
ACU,30,0,0,-320,1.02992,1.1576,-319.125
ACU,31,0,0,-360,-0.498445,1.81508,-355.691
ACU,32,0,0,-400,2.15498,1.20974,-394.969
ACU,33,0,0,-440,0.437168,2.34675,-433.46
ACU,34,0,0,-480,4.65011,1.22274,-474.12
ACU,35,0,0,-520,3.64407,0.283062,-510.77
ACU,36,0,0,-560,2.87447,-0.706143,-550.543
ACU,37,0,0,-600,1.67435,2.18008,-583.965
ACU,38,0,0,-640,3.07598,3.72188,-630.756
ACU,39,0,0,-680,3.096,2.73392,-658.424
ACU,40,0,0,-720,3.52312,1.83886,-694.975
ACU,41,0,0,-760,2.95123,1.60929,-729.551
ACU,42,0,0,-800,2.88605,0.0131561,-787.37
ACU,43,0,0,-840,1.11908,3.49435,-788.443
