# start,end,a,b,c,patternName
0,200,-0.0002849,1.4071771,0.0,multicurve
200,300,-0.0003596,1.4448447,0.0,multicurve
300,400,-0.0003961,1.4691694,0.0,multicurve
400,500,-0.0004386,1.4984690,0.0,multicurve
500,650,-0.0004780,1.5272928,0.0,multicurve
650,700,-0.0005044,1.5443760,0.0,multicurve
700,1000000000,-0.0006089,1.6238693,0.0,multicurve
,, -0.000417,1.493977,0.0,AllCalibcurve
,, -0.000431,1.502797,0.0,CLScurve
,, -0.000388,1.476006,0.0,ACUcurve
,, -0.000297272,1.86446,0.0,Test02R
,, -0.000331137,1.89616,0.0,Test02R1364
,, -0.000606599,2.06273,0.0,Test03R
,, -0.0004773,2.01286,0.0,Test04R
,, 0.00000887041,1.79136,0.0,Test05R
,, -0.000620564,2.02401,0.0,Test06R
,, -0.000316993,1.44588,0.0,Test02RSim
,, -0.0000123,1.3252,0.0,Test04RSim
,,0,1.0,0,None
,,0,1.0,0,Test02
,,0,1.0,0,Test03
,,0,1.0,0,Test04
,,0,1.0,0,Test05
,,0,1.0,0,Test06
,,0,1.0,0,Test07
,,0,1.0,0,Test08
,,0,1.0,0,Test09
,,0,1.0,0,Test10
