channelid,DCR
4410,64416.63787
4411,72082.68106
3276,50651.00332
3277,101859.6678
7648,12704.04651
7649,92577
4636,58849.01993
4637,51753.13289
4190,66037.76744
4191,61046.5515
4416,66206.20266
4417,59105.51495
4182,59104.78405
4183,58967.31894
4418,60780.47841
4419,60842.96013
7644,55664.56478
7645,55979.95017
3068,70161.59801
3069,72482.8505
1816,83951.9103
1817,91381.73754
2632,70641.44186
2633,72890.5814
4642,83296.53488
4643,80843.22259
3740,58584.08306
3741,56373.57143
2420,98396.8206
2421,82230.11296
2848,73244.07641
2849,70858.09967
4870,44156.96346
4871,46862.88704
3280,97378.47508
3281,94549.54153
2628,65855.09635
2629,76603.60797
4420,73253.02658
4421,74910.7309
6496,80411.37209
6497,75941.12957
3968,57723.11296
3969,69087.69767
2414,68217.90033
2415,76698.01329
4860,67209.05316
4861,70157.43189
696,66866.00664
697,68061.3887
3502,67083.4186
3503,79575.88704
2014,89194.10631
2015,99519.65116
7294,53098.18937
7295,50883.14286
7004,52200.95017
7005,52697.25249
7826,123518.9236
7827,117206.4518
7162,48656.17276
7163,44336.3887
7694,0
7695,67927.57475
7232,88121.97342
7233,88515.52492
7702,85568.42525
7703,99085.67442
7696,84652.35548
7697,82262.66445
5840,111815.6844
5841,112239.3289
5846,94540.0598
5847,99037.86711
7364,79398.50831
7365,87331.45515
7366,73191.36877
7367,74208.48173
4970,59678.08306
4971,61923.67774
4326,66111.4485
4327,84878.99668
4294,75097.92027
4295,69362.07309
4066,59491.63455
4067,63137.92359
4292,67878.84718
4293,65154.78738
6024,80718.38206
6025,93470.32558
4330,91576.24585
4331,91678.36545
5614,63137.7608
5615,65143.36545
7220,77407.5515
7221,83180.18272
894,84233.78405
895,87382.70432
7222,61166.98671
7223,64659.30897
7080,79372.40199
7081,73693.52824
6590,63327.71096
6591,63818.701
6410,74824.83389
6411,89945.31561
1200,80313.98007
1201,83976.81395
508,76558.66777
509,79543.82724
7488,72844.27575
7489,73745.37209
5842,102122.1661
5843,98288.11296
7788,84564.701
7789,86664.92027
7230,84473.78738
7231,87889.95681
7592,55378.23588
7593,54216.96346
7594,62864.53488
7595,62933.75748
5844,110736.2824
5845,110510.3355
7596,61121.03322
7597,65363.56146
3070,71804.5515
3071,74218.74419
2424,74369.60133
2425,71095.5814
2850,71982.36545
2851,77106.3289
2634,68956.73422
2635,74535.7907
2422,79446.0299
2423,66579.24585
7418,51461.71429
7419,58036.72093
7420,71617.60797
7421,69764.3588
2626,74890.47508
2627,71920.87708
1818,74413.19934
1819,78267.08638
572,91862.36545
573,94662.00997
1814,71560
1815,66044.8505
2208,82259.59468
2209,89964.84053
1628,79271.74751
1629,77430.95017
2840,93183.85714
2841,89339.07309
2008,56957.10963
2009,62332.47841
3064,69566.53156
3065,77183.68439
2844,57367.95681
2845,63690.9402
2636,42840.22259
2637,76121.22924
3958,63282.61462
3959,70964.52824
5312,51617.35216
5313,50494.88372
3506,57631.49502
3507,0
7896,84663.10299
7897,91268.2093
7292,65706.77409
7293,63007.98339
1630,69156.08306
1631,5575.870432
3066,85294.94684
3067,88352.5814
2010,56078.06312
2011,50898.79734
3736,54587.62458
3737,55237.65449
3060,81140.1495
3061,78064.4485
2210,67313.68439
2211,55954.701
7158,72724.80066
7159,71480.60133
3738,56448.24585
3739,56544.58804
1732,101491.4186
1733,104989.1827
1920,89246.5814
1921,91469.16279
2116,86076.94352
2117,80583.49502
1916,79185.43854
1917,85364.51495
1922,99693
1923,106778.4319
2326,89069.64784
2327,89248.95681
2322,71096.70432
2323,76653.6113
1728,65595.55814
1729,62736.87375
7980,78043.86047
7981,76266.58472
2748,82243.74086
2749,81791.2093
7082,74271.12292
7083,75560.10631
6766,67749.49502
6767,68340.53821
6928,56851.17608
6929,63548.27575
7866,82551.87043
7867,84722.79734
2744,85941.68106
2745,77430.3289
2966,59227.4485
2967,61655.27243
2962,61689.28904
2963,56229.72093
3404,94713.92359
3405,93170.22924
4310,82265.34551
4311,83877.78405
4088,111174.5349
4089,104824.9169
4312,83357.64784
4313,85527.62458
4766,78001.25249
4767,75111.6711
1548,80714.15615
1549,84357.63123
2122,86385.93688
2123,88022.02658
2320,5920.013289
2321,2771.72093
2530,151726.0266
2531,78901.3887
2532,-4326.053156
2533,-582.5116279
1924,98021.2392
1925,103506.6977
4544,83290.18937
4545,79870.17276
4542,85862.52492
4543,90453.08306
2528,88811.65116
2529,81292.74751
2118,83881.50166
2119,86095.96678
3894,75775.31561
3895,70138.33223
4118,74153.2392
4119,80655.50166
4346,114406.7774
4347,92711.89369
3890,73465.46179
3891,82790.93688
5856,82782.0299
5857,85426.20598
4796,95576.40532
4797,92220.88372
4120,78647
4121,76085.34219
4570,84574.14618
4571,89263.74751
6260,88269.71096
6261,89040.0897
4572,81726.96678
4573,72300.49169
2772,83234.60133
2773,87491.59468
6446,69479.26578
6447,68544.40199
6066,85793.90365
6067,84944.88372
5866,70402.25914
5867,72703.86047
6448,71237.13953
6449,71413.57807
5862,86208.92359
5863,82786.67442
5024,73442.41528
5025,83904.37542
6466,98446.90698
6467,98437.87043
5048,66607.83721
5049,65311.75415
6468,100223.0664
6469,104729.2193
5456,67410.299
5457,77144.90365
5668,74775.92027
5669,77854.25581
6282,83688.33887
6283,79727.71761
5664,94852.22259
5665,88999.27243
4348,94953.65116
4349,93974.90698
4802,89102.0299
4803,96106.95349
4350,86008.49502
4351,90702.83056
4800,83743.75748
4801,89615.16611
4574,74166.14618
4575,82632.90698
5242,76346.28571
5243,81998.38206
4798,96339.54153
4799,98555.99668
5022,79963.25581
5023,88963.78738
2964,51935.67774
2965,65981.57143
2120,88153.18272
2121,87209.58804
2114,81597.43854
2115,86237.45847
2746,68150.23256
2747,73426.84385
4764,88373.21262
4765,96308.48173
3860,74391.7309
3861,81474.43522
1730,58750.57475
1731,59717.31229
1544,83889.45183
1545,80885.14618
6768,71865.50166
6769,75092.16944
2742,84389.44518
2743,87048.85714
