Sheel N/S,Layer,Layer inner no,SiPM no,Inner Sig,HV B no,HV I no,θ,φ,copy no,FEB type,LV M no,LV I no,FEC,FEC ch,HV Unit,HV Unit ch,tag,FEC,HV,chid
S,2,80,5349,1030,107,10,94.694,249.474,2205,H,235,4,13,0,57,109,1,13-0,57-109,4410
S,2,80,5349,1030,107,10,94.694,249.474,2205,H,235,4,13,1,57,109,1,13-1,57-109,4411
N,4,80,2512,1630,61,2,79.043,253.929,1638,N,407,4,13,2,32,125,1,13-2,32-125,3276
N,4,80,2512,1630,61,2,79.043,253.929,1638,N,407,4,13,3,32,125,1,13-3,32-125,3277
S,20,39,4745,105,131,9,151.293,263.077,3824,S,55,3,13,4,38,48,1,13-4,38-48,7648
S,20,39,4745,105,131,9,151.293,263.077,3824,S,55,3,13,5,38,48,1,13-5,38-48,7649
S,3,79,1647,483,107,28,97.825,248.496,2318,H,459,3,13,6,57,73,1,13-6,57-73,4636
S,3,79,1647,483,107,28,97.825,248.496,2318,H,459,3,13,7,57,73,1,13-7,57-73,4637
S,1,84,1597,479,107,14,91.565,262.105,2095,H,108,4,13,8,57,101,1,13-8,57-101,4190
S,1,84,1597,479,107,14,91.565,262.105,2095,H,108,4,13,9,57,101,1,13-9,57-101,4191
S,2,83,5347,1029,107,23,94.694,258.947,2208,H,148,3,13,10,57,83,1,13-10,57-83,4416
S,2,83,5347,1029,107,23,94.694,258.947,2208,H,148,3,13,11,57,83,1,13-11,57-83,4417
S,1,80,1513,1843,107,13,91.565,249.474,2091,S,447,4,13,12,57,103,1,13-12,57-103,4182
S,1,80,1513,1843,107,13,91.565,249.474,2091,S,447,4,13,13,57,103,1,13-13,57-103,4183
S,2,84,5342,1817,107,12,94.694,262.105,2209,H,148,4,13,14,57,105,1,13-14,57-105,4418
S,2,84,5342,1817,107,12,94.694,262.105,2209,H,148,4,13,15,57,105,1,13-15,57-105,4419
S,20,37,3266,143,131,11,151.293,249.231,3822,N,55,1,13,16,38,44,1,13-16,38-44,7644
S,20,37,3266,143,131,11,151.293,249.231,3822,N,55,1,13,17,38,44,1,13-17,38-44,7645
N,5,86,753,882,55,4,75.909,278.182,1534,N,246,2,13,18,55,121,1,13-18,55-121,3068
N,5,86,753,882,55,4,75.909,278.182,1534,N,246,2,13,19,55,121,1,13-19,55-121,3069
