ChID CopyNo HVBundleID HVCableID SignalCableID SiPMNo FECID FECChID
0 0 35 22 1301 3611 0 0
1 0 35 22 1301 3611 0 1
0 1 35 17 1927 3640 0 2
1 1 35 17 1927 3640 0 3
0 2 35 21 1939 3669 0 4
1 2 35 21 1939 3669 0 5
0 3 1 30 1589 3697 0 6
1 3 1 30 1589 3697 0 7
0 4 1 32 1560 4320 0 8
1 4 1 32 1560 4320 0 9
0 5 1 11 1568 3698 0 10
1 5 1 11 1568 3698 0 11
0 6 1 7 344 3695 0 12
1 6 1 7 344 3695 0 13
0 7 1 8 343 3666 0 14
1 7 1 8 343 3666 0 15
0 8 1 23 230 3665 0 16
1 8 1 23 230 3665 0 17
0 9 1 4 960 3664 0 18
1 9 1 4 960 3664 0 19
0 10 1 5 316 3663 0 20
1 10 1 5 316 3663 0 21
0 11 35 26 2071 3662 0 22
1 11 35 26 2071 3662 0 23
0 12 35 32 1937 3661 0 24
1 12 35 32 1937 3661 0 25
0 13 35 2 1282 4202 0 26
1 13 35 2 1282 4202 0 27
0 14 35 15 1100 4201 0 28
1 14 35 15 1100 4201 0 29
0 15 35 13 2070 3338 0 30
1 15 35 13 2070 3338 0 31
0 16 35 30 2061 3337 0 32
1 16 35 30 2061 3337 0 33
0 17 35 9 1940 3339 0 34
1 17 35 9 1940 3339 0 35
0 18 35 16 1289 3335 0 36
1 18 35 16 1289 3335 0 37
0 19 35 25 1334 3334 0 38
1 19 35 25 1334 3334 0 39
0 20 1 27 1300 3333 0 40
1 20 1 27 1300 3333 0 41
0 21 1 16 538 3332 0 42
1 21 1 16 538 3332 0 43
0 22 1 17 331 3331 0 44
1 22 1 17 331 3331 0 45
0 23 1 25 316 3862 0 46
1 23 1 25 316 3862 0 47
0 24 1 1 325 1139 0 48
1 24 1 1 325 1139 0 49
0 25 1 20 959 3864 0 50
1 25 1 20 959 3864 0 51
0 26 1 31 966 3865 0 52
1 26 1 31 966 3865 0 53
0 27 1 10 325 3866 0 54
1 27 1 10 325 3866 0 55
0 28 1 15 579 3867 0 56
1 28 1 15 579 3867 0 57
0 29 1 9 296 3868 0 58
1 29 1 9 296 3868 0 59
0 30 1 21 327 3869 0 60
1 30 1 21 327 3869 0 61
0 31 35 5 1288 3870 0 62
1 31 35 5 1288 3870 0 63
0 32 35 18 2076 4402 0 64
1 32 35 18 2076 4402 0 65
0 33 35 11 1095 3102 0 66
1 33 35 11 1095 3102 0 67
0 34 35 7 1086 3103 0 68
1 34 35 7 1086 3103 0 69
0 35 35 1 2063 3104 0 70
1 35 35 1 2063 3104 0 71
0 36 35 31 2052 1718 0 72
1 36 35 31 2052 1718 0 73
0 37 35 6 1925 3106 0 74
1 37 35 6 1925 3106 0 75
0 38 36 2 888 1720 0 76
1 38 36 2 888 1720 0 77
0 39 36 5 1091 3108 0 78
1 39 36 5 1091 3108 0 79
0 40 36 1 988 3109 0 80
1 40 36 1 988 3109 0 81
0 41 36 4 364 3110 0 82
1 41 36 4 364 3110 0 83
0 42 36 32 2074 3111 0 84
1 42 36 32 2074 3111 0 85
0 43 2 12 548 3861 0 86
1 43 2 12 548 3861 0 87
0 44 2 16 2072 3810 0 88
1 44 2 16 2072 3810 0 89
