X Y Interpolated_Values
0.000000000000000000e+00 0.000000000000000000e+00 1.000199999999999978e+00
2.000000000000000000e+01 0.000000000000000000e+00 9.991219999999999546e-01
4.000000000000000000e+01 0.000000000000000000e+00 9.995268174651408266e-01
6.000000000000000000e+01 0.000000000000000000e+00 1.000199999999999978e+00
8.000000000000000000e+01 0.000000000000000000e+00 9.996779631413396094e-01
1.000000000000000000e+02 0.000000000000000000e+00 9.989699999999999136e-01
1.200000000000000000e+02 0.000000000000000000e+00 9.988311190559687747e-01
1.400000000000000000e+02 0.000000000000000000e+00 9.985730000000001549e-01
1.600000000000000000e+02 0.000000000000000000e+00 9.978684184315093075e-01
1.800000000000000000e+02 0.000000000000000000e+00 9.969700000000000228e-01
2.000000000000000000e+02 0.000000000000000000e+00 9.961519621292044269e-01
2.200000000000000000e+02 0.000000000000000000e+00 9.954410000000000203e-01
2.400000000000000000e+02 0.000000000000000000e+00 9.946249873493169247e-01
2.600000000000000000e+02 0.000000000000000000e+00 9.935709999999999820e-01
2.800000000000000000e+02 0.000000000000000000e+00 9.924919426658962429e-01
3.000000000000000000e+02 0.000000000000000000e+00 9.917310000000000292e-01
3.200000000000000000e+02 0.000000000000000000e+00 9.912047775720137510e-01
3.400000000000000000e+02 0.000000000000000000e+00 9.902079999999999771e-01
3.600000000000000000e+02 0.000000000000000000e+00 9.881535006087196482e-01
3.800000000000000000e+02 0.000000000000000000e+00 9.861429999999999918e-01
4.000000000000000000e+02 0.000000000000000000e+00 9.853308984596408360e-01
4.200000000000000000e+02 0.000000000000000000e+00 9.848200000000000287e-01
4.400000000000000000e+02 0.000000000000000000e+00 9.838283204141983207e-01
4.600000000000000000e+02 0.000000000000000000e+00 9.823899999999999855e-01
4.800000000000000000e+02 0.000000000000000000e+00 9.807639993537936585e-01
5.000000000000000000e+02 0.000000000000000000e+00 9.791469999999999896e-01
5.200000000000000000e+02 0.000000000000000000e+00 9.778776421170577438e-01
5.400000000000000000e+02 0.000000000000000000e+00 9.764599999999999946e-01
5.600000000000000000e+02 0.000000000000000000e+00 9.747818833999432053e-01
5.800000000000000000e+02 0.000000000000000000e+00 9.730870000000000353e-01
6.000000000000000000e+02 0.000000000000000000e+00 9.715094725316737456e-01
6.200000000000000000e+02 0.000000000000000000e+00 9.683180000000000121e-01
6.400000000000000000e+02 0.000000000000000000e+00 9.658849676194921630e-01
6.600000000000000000e+02 0.000000000000000000e+00 9.621739999999999737e-01
6.800000000000000000e+02 0.000000000000000000e+00 9.570684459332764460e-01
7.000000000000000000e+02 0.000000000000000000e+00 9.526109999999999856e-01
7.200000000000000000e+02 0.000000000000000000e+00 9.488095073763453957e-01
7.400000000000000000e+02 0.000000000000000000e+00 9.440089999999999870e-01
7.600000000000000000e+02 0.000000000000000000e+00 9.389876723596791708e-01
7.800000000000000000e+02 0.000000000000000000e+00 9.316440000000000277e-01
8.000000000000000000e+02 0.000000000000000000e+00 9.232012538612549557e-01
8.200000000000000000e+02 0.000000000000000000e+00 9.152620000000000200e-01
8.400000000000000000e+02 0.000000000000000000e+00 9.075200476813986006e-01
8.600000000000000000e+02 0.000000000000000000e+00 9.031420000000000003e-01
0.000000000000000000e+00 6.000000000000000000e+00 1.000199839025067261e+00
2.000000000000000000e+01 6.000000000000000000e+00 9.993988730842167101e-01
4.000000000000000000e+01 6.000000000000000000e+00 9.999581577514456976e-01
6.000000000000000000e+01 6.000000000000000000e+00 1.000195958255543305e+00
8.000000000000000000e+01 6.000000000000000000e+00 9.996092863879120216e-01
1.000000000000000000e+02 6.000000000000000000e+00 9.992338558710414098e-01
1.200000000000000000e+02 6.000000000000000000e+00 9.991985362564138606e-01
1.400000000000000000e+02 6.000000000000000000e+00 9.990785177757571800e-01
1.600000000000000000e+02 6.000000000000000000e+00 9.982380410307659657e-01
1.800000000000000000e+02 6.000000000000000000e+00 9.972851069199598628e-01
2.000000000000000000e+02 6.000000000000000000e+00 9.966376028399760445e-01
2.200000000000000000e+02 6.000000000000000000e+00 9.961424270702361472e-01
2.400000000000000000e+02 6.000000000000000000e+00 9.953982821509780310e-01
2.600000000000000000e+02 6.000000000000000000e+00 9.943435105785621841e-01
2.800000000000000000e+02 6.000000000000000000e+00 9.933130149924656038e-01
3.000000000000000000e+02 6.000000000000000000e+00 9.926788473235558241e-01
3.200000000000000000e+02 6.000000000000000000e+00 9.922335550575358543e-01
3.400000000000000000e+02 6.000000000000000000e+00 9.912107268392581494e-01
3.600000000000000000e+02 6.000000000000000000e+00 9.897111124904625079e-01
3.800000000000000000e+02 6.000000000000000000e+00 9.879165904848036250e-01
4.000000000000000000e+02 6.000000000000000000e+00 9.869055456626301126e-01
4.200000000000000000e+02 6.000000000000000000e+00 9.862845069538190845e-01
4.400000000000000000e+02 6.000000000000000000e+00 9.853005940836838672e-01
4.600000000000000000e+02 6.000000000000000000e+00 9.838453772247233164e-01
4.800000000000000000e+02 6.000000000000000000e+00 9.822007346905040626e-01
5.000000000000000000e+02 6.000000000000000000e+00 9.806499385670730540e-01
5.200000000000000000e+02 6.000000000000000000e+00 9.792995018145767006e-01
5.400000000000000000e+02 6.000000000000000000e+00 9.777188411107808896e-01
5.600000000000000000e+02 6.000000000000000000e+00 9.760815433892934267e-01
5.800000000000000000e+02 6.000000000000000000e+00 9.764937207761796856e-01
6.000000000000000000e+02 6.000000000000000000e+00 9.735723553108845962e-01
6.200000000000000000e+02 6.000000000000000000e+00 9.727477557570465283e-01
6.400000000000000000e+02 6.000000000000000000e+00 9.673425138341693597e-01
6.600000000000000000e+02 6.000000000000000000e+00 9.665216329323680355e-01
6.800000000000000000e+02 6.000000000000000000e+00 9.603683028645315645e-01
7.000000000000000000e+02 6.000000000000000000e+00 9.600780960276020792e-01
7.200000000000000000e+02 6.000000000000000000e+00 9.539447554572813015e-01
7.400000000000000000e+02 6.000000000000000000e+00 9.508090636911737947e-01
7.600000000000000000e+02 6.000000000000000000e+00 9.485747336730285806e-01
7.800000000000000000e+02 6.000000000000000000e+00 9.435128591161234812e-01
8.000000000000000000e+02 6.000000000000000000e+00 9.369341273583864371e-01
8.200000000000000000e+02 6.000000000000000000e+00 9.264667964150874457e-01
8.400000000000000000e+02 6.000000000000000000e+00 9.126758925817407553e-01
8.600000000000000000e+02 6.000000000000000000e+00 9.020428485712408406e-01
0.000000000000000000e+00 1.200000000000000000e+01 1.000200202372872660e+00
2.000000000000000000e+01 1.200000000000000000e+01 9.997155939233638433e-01
4.000000000000000000e+01 1.200000000000000000e+01 1.000144930374343044e+00
6.000000000000000000e+01 1.200000000000000000e+01 1.000143280724999251e+00
8.000000000000000000e+01 1.200000000000000000e+01 9.996157245146255477e-01
1.000000000000000000e+02 1.200000000000000000e+01 9.994809979786786203e-01
1.200000000000000000e+02 1.200000000000000000e+01 9.996968666504771894e-01
1.400000000000000000e+02 1.200000000000000000e+01 9.996730749542701577e-01
1.600000000000000000e+02 1.200000000000000000e+01 9.985303688704449954e-01
1.800000000000000000e+02 1.200000000000000000e+01 9.975795689896742591e-01
2.000000000000000000e+02 1.200000000000000000e+01 9.970745337200179748e-01
2.200000000000000000e+02 1.200000000000000000e+01 9.968343041488817446e-01
2.400000000000000000e+02 1.200000000000000000e+01 9.962036250254687753e-01
2.600000000000000000e+02 1.200000000000000000e+01 9.951124701004527839e-01
2.800000000000000000e+02 1.200000000000000000e+01 9.940848796835815016e-01
3.000000000000000000e+02 1.200000000000000000e+01 9.936266045291229920e-01
3.200000000000000000e+02 1.200000000000000000e+01 9.932573159479791691e-01
3.400000000000000000e+02 1.200000000000000000e+01 9.922156888889008819e-01
3.600000000000000000e+02 1.200000000000000000e+01 9.911051072774391679e-01
3.800000000000000000e+02 1.200000000000000000e+01 9.896225474411440848e-01
4.000000000000000000e+02 1.200000000000000000e+01 9.885093773993329780e-01
4.200000000000000000e+02 1.200000000000000000e+01 9.877687175600218250e-01
4.400000000000000000e+02 1.200000000000000000e+01 9.868403615423610997e-01
4.600000000000000000e+02 1.200000000000000000e+01 9.854141410069154894e-01
4.800000000000000000e+02 1.200000000000000000e+01 9.838822599273545633e-01
5.000000000000000000e+02 1.200000000000000000e+01 9.828674855159531543e-01
5.200000000000000000e+02 1.200000000000000000e+01 9.824045312118709905e-01
5.400000000000000000e+02 1.200000000000000000e+01 9.814821973720416759e-01
5.600000000000000000e+02 1.200000000000000000e+01 9.802311623176971356e-01
5.800000000000000000e+02 1.200000000000000000e+01 9.805082596854644006e-01
6.000000000000000000e+02 1.200000000000000000e+01 9.786071962708808858e-01
6.200000000000000000e+02 1.200000000000000000e+01 9.779509843926780244e-01
6.400000000000000000e+02 1.200000000000000000e+01 9.742400298113749191e-01
6.600000000000000000e+02 1.200000000000000000e+01 9.723203781370738374e-01
6.800000000000000000e+02 1.200000000000000000e+01 9.697244606339411321e-01
7.000000000000000000e+02 1.200000000000000000e+01 9.688446240588902691e-01
7.200000000000000000e+02 1.200000000000000000e+01 9.650089378592531242e-01
7.400000000000000000e+02 1.200000000000000000e+01 9.611256072983664911e-01
7.600000000000000000e+02 1.200000000000000000e+01 9.594267923331561976e-01
7.800000000000000000e+02 1.200000000000000000e+01 9.565688264034641897e-01
8.000000000000000000e+02 1.200000000000000000e+01 9.493701023948369899e-01
8.200000000000000000e+02 1.200000000000000000e+01 9.382426356935387179e-01
8.400000000000000000e+02 1.200000000000000000e+01 9.215016527728967510e-01
8.600000000000000000e+02 1.200000000000000000e+01 9.033606495979489281e-01
0.000000000000000000e+00 1.800000000000000000e+01 1.000200405623885791e+00
2.000000000000000000e+01 1.800000000000000000e+01 9.999879405882267092e-01
4.000000000000000000e+01 1.800000000000000000e+01 1.000183455199258331e+00
6.000000000000000000e+01 1.800000000000000000e+01 1.000071285330609960e+00
8.000000000000000000e+01 1.800000000000000000e+01 9.998104399701764899e-01
1.000000000000000000e+02 1.800000000000000000e+01 9.997112105128009851e-01
1.200000000000000000e+02 1.800000000000000000e+01 1.000127974923567420e+00
1.400000000000000000e+02 1.800000000000000000e+01 1.000305950563091573e+00
1.600000000000000000e+02 1.800000000000000000e+01 9.988285887202414948e-01
1.800000000000000000e+02 1.800000000000000000e+01 9.978682246103769415e-01
2.000000000000000000e+02 1.800000000000000000e+01 9.974825567895897471e-01
2.200000000000000000e+02 1.800000000000000000e+01 9.975082289395713619e-01
2.400000000000000000e+02 1.800000000000000000e+01 9.969907194654954452e-01
2.600000000000000000e+02 1.800000000000000000e+01 9.958712245527607809e-01
2.800000000000000000e+02 1.800000000000000000e+01 9.948274685696131270e-01
3.000000000000000000e+02 1.800000000000000000e+01 9.945600932034044384e-01
3.200000000000000000e+02 1.800000000000000000e+01 9.942252511641259671e-01
3.400000000000000000e+02 1.800000000000000000e+01 9.932178301193936854e-01
3.600000000000000000e+02 1.800000000000000000e+01 9.923302046572071156e-01
3.800000000000000000e+02 1.800000000000000000e+01 9.912071193298807037e-01
4.000000000000000000e+02 1.800000000000000000e+01 9.900647155747797079e-01
4.200000000000000000e+02 1.800000000000000000e+01 9.892995420421912822e-01
4.400000000000000000e+02 1.800000000000000000e+01 9.884446672402754652e-01
4.600000000000000000e+02 1.800000000000000000e+01 9.871199929888017088e-01
4.800000000000000000e+02 1.800000000000000000e+01 9.857167888335769401e-01
5.000000000000000000e+02 1.800000000000000000e+01 9.850937154701551179e-01
5.200000000000000000e+02 1.800000000000000000e+01 9.852945489164501858e-01
5.400000000000000000e+02 1.800000000000000000e+01 9.867248470272527161e-01
5.600000000000000000e+02 1.800000000000000000e+01 9.848089509120468987e-01
5.800000000000000000e+02 1.800000000000000000e+01 9.849710541061258429e-01
6.000000000000000000e+02 1.800000000000000000e+01 9.839529308890122561e-01
6.200000000000000000e+02 1.800000000000000000e+01 9.836662716537091233e-01
6.400000000000000000e+02 1.800000000000000000e+01 9.812939986156904437e-01
6.600000000000000000e+02 1.800000000000000000e+01 9.789647194485321391e-01
6.800000000000000000e+02 1.800000000000000000e+01 9.784240472103031827e-01
7.000000000000000000e+02 1.800000000000000000e+01 9.779292524999928515e-01
7.200000000000000000e+02 1.800000000000000000e+01 9.742785036202934457e-01
7.400000000000000000e+02 1.800000000000000000e+01 9.707424941901602322e-01
7.600000000000000000e+02 1.800000000000000000e+01 9.695206101417471745e-01
7.800000000000000000e+02 1.800000000000000000e+01 9.684964617339246740e-01
8.000000000000000000e+02 1.800000000000000000e+01 9.609791560161567991e-01
8.200000000000000000e+02 1.800000000000000000e+01 9.501738781455819627e-01
8.400000000000000000e+02 1.800000000000000000e+01 9.307729944855737125e-01
8.600000000000000000e+02 1.800000000000000000e+01 9.069302047391429866e-01
0.000000000000000000e+00 2.400000000000000000e+01 1.000198518161877104e+00
2.000000000000000000e+01 2.400000000000000000e+01 1.000126277316787382e+00
4.000000000000000000e+01 2.400000000000000000e+01 1.000201243973872778e+00
6.000000000000000000e+01 2.400000000000000000e+01 1.000010232171044455e+00
8.000000000000000000e+01 2.400000000000000000e+01 9.999939515995259764e-01
1.000000000000000000e+02 2.400000000000000000e+01 9.999242776632971674e-01
1.200000000000000000e+02 2.400000000000000000e+01 1.000462165803676751e+00
1.400000000000000000e+02 2.400000000000000000e+01 1.000926092502131493e+00
1.600000000000000000e+02 2.400000000000000000e+01 9.993844445942940968e-01
1.800000000000000000e+02 2.400000000000000000e+01 9.981659121832998638e-01
2.000000000000000000e+02 2.400000000000000000e+01 9.978835814535220727e-01
2.200000000000000000e+02 2.400000000000000000e+01 9.981557991459384382e-01
2.400000000000000000e+02 2.400000000000000000e+01 9.977371722896504203e-01
2.600000000000000000e+02 2.400000000000000000e+01 9.966131199225778392e-01
2.800000000000000000e+02 2.400000000000000000e+01 9.955478264180500636e-01
3.000000000000000000e+02 2.400000000000000000e+01 9.954658278846756359e-01
3.200000000000000000e+02 2.400000000000000000e+01 9.951159567211104173e-01
3.400000000000000000e+02 2.400000000000000000e+01 9.942144502279830487e-01
3.600000000000000000e+02 2.400000000000000000e+01 9.935998852106788792e-01
3.800000000000000000e+02 2.400000000000000000e+01 9.926680739688582555e-01
4.000000000000000000e+02 2.400000000000000000e+01 9.915431035086562650e-01
4.200000000000000000e+02 2.400000000000000000e+01 9.908959894867169771e-01
4.400000000000000000e+02 2.400000000000000000e+01 9.900523401631714515e-01
