X Y Interpolated_Values
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+01 0.000000000000000000e+00 9.997113416977116973e-01
4.000000000000000000e+01 0.000000000000000000e+00 9.995049999999999768e-01
6.000000000000000000e+01 0.000000000000000000e+00 9.994235962289155228e-01
8.000000000000000000e+01 0.000000000000000000e+00 9.993549999999999933e-01
1.000000000000000000e+02 0.000000000000000000e+00 9.991947894413781839e-01
1.200000000000000000e+02 0.000000000000000000e+00 9.990339999999999776e-01
1.400000000000000000e+02 0.000000000000000000e+00 9.988880308595384783e-01
1.600000000000000000e+02 0.000000000000000000e+00 9.983149999999998414e-01
1.800000000000000000e+02 0.000000000000000000e+00 9.970185184824310598e-01
2.000000000000000000e+02 0.000000000000000000e+00 9.956650000000000222e-01
2.200000000000000000e+02 0.000000000000000000e+00 9.948804774985852140e-01
2.400000000000000000e+02 0.000000000000000000e+00 9.942069999999999519e-01
2.600000000000000000e+02 0.000000000000000000e+00 9.931778318517372472e-01
2.800000000000000000e+02 0.000000000000000000e+00 9.916850000000000387e-01
3.000000000000000000e+02 0.000000000000000000e+00 9.894254391993384523e-01
3.200000000000000000e+02 0.000000000000000000e+00 9.872830000000000217e-01
3.400000000000000000e+02 0.000000000000000000e+00 9.862120473863249526e-01
3.600000000000000000e+02 0.000000000000000000e+00 9.851259999999998351e-01
3.800000000000000000e+02 0.000000000000000000e+00 9.830416682004105011e-01
4.000000000000000000e+02 0.000000000000000000e+00 9.809120000000000061e-01
4.200000000000000000e+02 0.000000000000000000e+00 9.797147859018277005e-01
4.400000000000000000e+02 0.000000000000000000e+00 9.785089999999999621e-01
4.600000000000000000e+02 0.000000000000000000e+00 9.762141550781351373e-01
4.800000000000000000e+02 0.000000000000000000e+00 9.735059999999999825e-01
5.000000000000000000e+02 0.000000000000000000e+00 9.710873700233297878e-01
5.200000000000000000e+02 0.000000000000000000e+00 9.664860000000000673e-01
5.400000000000000000e+02 0.000000000000000000e+00 9.581969920983991473e-01
5.600000000000000000e+02 0.000000000000000000e+00 9.529739999999999878e-01
5.800000000000000000e+02 0.000000000000000000e+00 9.563990926187372343e-01
6.000000000000000000e+02 0.000000000000000000e+00 9.588710000000000289e-01
6.200000000000000000e+02 0.000000000000000000e+00 9.522971098906863885e-01
6.400000000000000000e+02 0.000000000000000000e+00 9.464029999999999943e-01
6.600000000000000000e+02 0.000000000000000000e+00 9.461010516483864263e-01
6.800000000000000000e+02 0.000000000000000000e+00 9.409530000000000394e-01
7.000000000000000000e+02 0.000000000000000000e+00 9.329520809784872526e-01
7.200000000000000000e+02 0.000000000000000000e+00 9.265050000000000230e-01
7.400000000000000000e+02 0.000000000000000000e+00 9.163555883687083403e-01
7.600000000000000000e+02 0.000000000000000000e+00 9.080139999999999878e-01
7.800000000000000000e+02 0.000000000000000000e+00 8.740856329345567666e-01
8.000000000000000000e+02 0.000000000000000000e+00 8.461659999999999737e-01
2.000000000000000000e+01 6.000000000000000000e+00 9.997403150077454059e-01
4.000000000000000000e+01 6.000000000000000000e+00 9.995430274333259035e-01
6.000000000000000000e+01 6.000000000000000000e+00 9.994683353399631542e-01
8.000000000000000000e+01 6.000000000000000000e+00 9.994114766319447396e-01
1.000000000000000000e+02 6.000000000000000000e+00 9.992721401806344828e-01
1.200000000000000000e+02 6.000000000000000000e+00 9.991232443124400397e-01
1.400000000000000000e+02 6.000000000000000000e+00 9.989933240533624970e-01
1.600000000000000000e+02 6.000000000000000000e+00 9.985340738148339446e-01
1.800000000000000000e+02 6.000000000000000000e+00 9.973387110843224823e-01
2.000000000000000000e+02 6.000000000000000000e+00 9.959967154103708253e-01
2.200000000000000000e+02 6.000000000000000000e+00 9.951267293880392550e-01
2.400000000000000000e+02 6.000000000000000000e+00 9.943871709744603882e-01
2.600000000000000000e+02 6.000000000000000000e+00 9.933449800327464052e-01
2.800000000000000000e+02 6.000000000000000000e+00 9.919324404690251784e-01
3.000000000000000000e+02 6.000000000000000000e+00 9.900524361556612973e-01
3.200000000000000000e+02 6.000000000000000000e+00 9.881485480643036334e-01
3.400000000000000000e+02 6.000000000000000000e+00 9.868052280993775405e-01
3.600000000000000000e+02 6.000000000000000000e+00 9.856734904646543560e-01
