X Y Interpolated_Values
0.000000000000000000e+00 0.000000000000000000e+00 1.000000000000000000e+00
2.000000000000000000e+01 0.000000000000000000e+00 9.998090055309070134e-01
4.000000000000000000e+01 0.000000000000000000e+00 9.994079999999999631e-01
6.000000000000000000e+01 0.000000000000000000e+00 9.987039965428931021e-01
8.000000000000000000e+01 0.000000000000000000e+00 9.980759999999999632e-01
1.000000000000000000e+02 0.000000000000000000e+00 9.978671754909196334e-01
1.200000000000000000e+02 0.000000000000000000e+00 9.978310000000000235e-01
1.400000000000000000e+02 0.000000000000000000e+00 9.976133208874473635e-01
1.600000000000000000e+02 0.000000000000000000e+00 9.970689999999998721e-01
1.800000000000000000e+02 0.000000000000000000e+00 9.962202026448742087e-01
2.000000000000000000e+02 0.000000000000000000e+00 9.954199999999999715e-01
2.200000000000000000e+02 0.000000000000000000e+00 9.949196799812521919e-01
2.400000000000000000e+02 0.000000000000000000e+00 9.941619999999999902e-01
2.600000000000000000e+02 0.000000000000000000e+00 9.925859736779698572e-01
2.800000000000000000e+02 0.000000000000000000e+00 9.904800000000000271e-01
3.000000000000000000e+02 0.000000000000000000e+00 9.879793739596844926e-01
3.200000000000000000e+02 0.000000000000000000e+00 9.857449999999999823e-01
3.400000000000000000e+02 0.000000000000000000e+00 9.845844599097623995e-01
3.600000000000000000e+02 0.000000000000000000e+00 9.839449999999998475e-01
3.800000000000000000e+02 0.000000000000000000e+00 9.830100836166778544e-01
4.000000000000000000e+02 0.000000000000000000e+00 9.807670000000000554e-01
4.200000000000000000e+02 0.000000000000000000e+00 9.759614672575862571e-01
4.400000000000000000e+02 0.000000000000000000e+00 9.719259999999999566e-01
4.600000000000000000e+02 0.000000000000000000e+00 9.717629344482712206e-01
4.800000000000000000e+02 0.000000000000000000e+00 9.723840000000000261e-01
5.000000000000000000e+02 0.000000000000000000e+00 9.746338097645290688e-01
5.200000000000000000e+02 0.000000000000000000e+00 9.765040000000001497e-01
5.400000000000000000e+02 0.000000000000000000e+00 9.723027949698793693e-01
5.600000000000000000e+02 0.000000000000000000e+00 9.645590000000000552e-01
5.800000000000000000e+02 0.000000000000000000e+00 9.594817951566868564e-01
