X Y Interpolated_Values
4.408985599999999749e+01 6.013632999999999562e+00 9.992057799890299297e-01
6.408985599999999749e+01 6.013632999999999562e+00 9.993304011870596248e-01
8.408985599999999749e+01 6.013632999999999562e+00 9.987507203848142723e-01
1.040898559999999975e+02 6.013632999999999562e+00 9.976161806868742987e-01
1.240898559999999975e+02 6.013632999999999562e+00 9.965837877572724102e-01
1.440898559999999975e+02 6.013632999999999562e+00 9.961931288130587703e-01
1.640898559999999975e+02 6.013632999999999562e+00 9.961772580332354243e-01
1.840898559999999975e+02 6.013632999999999562e+00 9.951847133849579530e-01
2.040898559999999975e+02 6.013632999999999562e+00 9.942784612067804284e-01
2.240898559999999975e+02 6.013632999999999562e+00 9.936964517734113711e-01
2.440898559999999975e+02 6.013632999999999562e+00 9.929545631125928917e-01
2.640898559999999975e+02 6.013632999999999562e+00 9.915656886055439490e-01
2.840898559999999975e+02 6.013632999999999562e+00 9.898755075415214266e-01
3.040898559999999975e+02 6.013632999999999562e+00 9.879270360584161415e-01
3.240898559999999975e+02 6.013632999999999562e+00 9.859309990229380150e-01
3.440898559999999975e+02 6.013632999999999562e+00 9.839838170034952425e-01
3.640898559999999975e+02 6.013632999999999562e+00 9.820905312572967283e-01
3.840898559999999975e+02 6.013632999999999562e+00 9.801763151124356366e-01
4.040898559999999975e+02 6.013632999999999562e+00 9.781215851767748326e-01
4.240898559999999975e+02 6.013632999999999562e+00 9.758308587368672571e-01
4.440898559999999975e+02 6.013632999999999562e+00 9.742342957957869087e-01
4.640898559999999975e+02 6.013632999999999562e+00 9.725574409424815325e-01
4.840898559999999975e+02 6.013632999999999562e+00 9.701303920390769164e-01
5.040898559999999975e+02 6.013632999999999562e+00 9.677378799855518299e-01
5.240898560000000543e+02 6.013632999999999562e+00 9.663198150564027422e-01
5.440898560000000543e+02 6.013632999999999562e+00 9.650700123068889358e-01
5.640898560000000543e+02 6.013632999999999562e+00 9.623340279788197282e-01
5.840898560000000543e+02 6.013632999999999562e+00 9.580204834847074746e-01
6.040898560000000543e+02 6.013632999999999562e+00 9.570195996080579359e-01
6.240898560000000543e+02 6.013632999999999562e+00 9.524084580413109125e-01
6.440898560000000543e+02 6.013632999999999562e+00 9.512169198901275768e-01
