channelID,x,y,z,label
0,-2302.8,-2446.0,-7284.19,0
1,-2277.95,-2446.0,-7288.37,0
2,-2313.7,-2391.2,-7284.19,0
3,-2290.74,-2381.69,-7288.37,0
4,-2344.74,-2344.74,-7284.19,0
5,-2327.17,-2327.17,-7288.37,0
6,-2391.2,-2313.7,-7284.19,0
7,-2381.69,-2290.74,-7288.37,0
8,-2446.0,-2302.8,-7284.19,1
9,-2446.0,-2277.95,-7288.37,1
10,-2500.8,-2313.7,-7284.19,1
11,-2510.31,-2290.74,-7288.37,1
12,-2547.26,-2344.74,-7284.19,1
13,-2564.83,-2327.17,-7288.37,1
14,-2578.3,-2391.2,-7284.19,1
15,-2601.26,-2381.69,-7288.37,1
16,-2589.2,-2446.0,-7284.19,1
17,-2614.05,-2446.0,-7288.37,1
18,-2578.3,-2500.8,-7284.19,2
19,-2601.26,-2510.31,-7288.37,2
20,-2547.26,-2547.26,-7284.19,2
21,-2564.83,-2564.83,-7288.37,2
22,-2500.8,-2578.3,-7284.19,2
23,-2510.31,-2601.26,-7288.37,2
24,-2446.0,-2589.2,-7284.19,3
25,-2446.0,-2614.05,-7288.37,3
26,-2391.2,-2578.3,-7284.19,3
27,-2381.69,-2601.26,-7288.37,3
28,-2344.74,-2547.26,-7284.19,3
29,-2327.17,-2564.83,-7288.37,3
30,-2313.7,-2500.8,-7284.19,3
31,-2290.74,-2510.31,-7288.37,3
32,-2250.61,-2446.0,-7293.76,4
33,-2226.03,-2446.0,-7299.33,4
34,-2258.52,-2390.95,-7293.76,0
35,-2234.94,-2384.03,-7299.33,0
36,-2281.63,-2340.36,-7293.76,0
37,-2260.95,-2327.08,-7299.33,0
38,-2318.04,-2298.33,-7293.76,0
39,-2301.95,-2279.76,-7299.33,0
40,-2364.83,-2268.26,-7293.76,0
41,-2354.62,-2245.91,-7299.33,0
42,-2418.19,-2252.6,-7293.76,0
43,-2414.7,-2228.27,-7299.33,5
44,-2473.81,-2252.6,-7293.76,1
45,-2477.3,-2228.27,-7299.33,6
46,-2527.17,-2268.26,-7293.76,1
47,-2537.38,-2245.91,-7299.33,1
48,-2573.95,-2298.33,-7293.76,1
49,-2590.05,-2279.76,-7299.33,1
50,-2610.38,-2340.36,-7293.76,1
51,-2631.05,-2327.08,-7299.33,1
52,-2633.48,-2390.95,-7293.76,1
53,-2657.06,-2384.03,-7299.33,1
54,-2641.39,-2446.0,-7293.76,7
55,-2665.97,-2446.0,-7299.33,7
56,-2633.48,-2501.05,-7293.76,2
57,-2657.06,-2507.97,-7299.33,2
58,-2610.38,-2551.64,-7293.76,2
59,-2631.05,-2564.92,-7299.33,2
60,-2573.95,-2593.67,-7293.76,2
61,-2590.05,-2612.24,-7299.33,2
62,-2527.17,-2623.74,-7293.76,2
63,-2537.38,-2646.09,-7299.33,2
64,-2473.81,-2639.4,-7293.76,2
65,-2477.31,-2663.73,-7299.33,9
66,-2418.19,-2639.4,-7293.76,3
67,-2414.69,-2663.73,-7299.33,10
68,-2364.83,-2623.74,-7293.76,3
69,-2354.62,-2646.09,-7299.33,3
70,-2318.05,-2593.67,-7293.76,3
71,-2301.95,-2612.24,-7299.33,3
72,-2281.62,-2551.64,-7293.76,3
73,-2260.95,-2564.92,-7299.33,3
74,-2258.52,-2501.05,-7293.76,3
75,-2234.94,-2507.97,-7299.33,3
76,-2199.44,-2446.0,-7306.14,4
77,-2175.21,-2446.0,-7313.08,4
78,-2205.62,-2391.13,-7306.14,4
79,-2182.0,-2385.74,-7313.08,4
80,-2223.85,-2339.02,-7306.14,0
81,-2202.03,-2328.51,-7313.08,4
82,-2253.23,-2292.27,-7306.14,0
83,-2234.29,-2277.16,-7313.08,0
84,-2292.27,-2253.23,-7306.14,0
85,-2277.16,-2234.29,-7313.08,0
86,-2339.02,-2223.85,-7306.14,0
87,-2328.51,-2202.03,-7313.08,5
88,-2391.13,-2205.62,-7306.14,5
89,-2385.74,-2182.0,-7313.08,5
